id,url,title,category_id,created_at,updated_at,strength,last_added_at,contents_preview,thumbnail,summaries_count,user_articles_count,cluster_id,auto_summary_error_status
131,http://zasshi.news.yahoo.co.jp/article?a=20130930-00010000-bjournal-bus_all,"auのKDDI、あきれた二枚舌営業〜購入時に虚偽説明、強いクレームには特別に補償対応 （Business Journal） - Yahoo!ニュース",8,"2013-10-01 22:45:14.905609","2013-11-04 07:25:30.854874",0,"2013-10-02 15:24:32.670119","
米アップルのiPhone 5s/5cの発売、およびNTTドコモのiPhone商戦への参入で話題沸騰の携帯電話業界。その陰で、KDDI(au)の不誠実な消費者対応が大きな問題となる可能性がある。その行為は、「詐欺的」と言われても仕方ないもので、消費者は今後、auの動向に注目していく必要がある。
KDDIは今年5月21日、不当景品類及び不当表示防止法の規定に基づく措置命令を消費者庁から受けた。その概",http://amd.c.yimg.jp/im_sigg8XxvdH3npMkCXSmvXM9SvQ---x153-y200-q90/amd/20130930-00010000-bjournal-000-1-view.jpg,,,413,
132,http://yongshuangchem.com/news/2889/,"【どうする？スマホサイト作成】8割近いユーザーが必要性を感じていない！？  |  集客チャンネル",4,"2013-10-02 12:25:36.707601","2013-11-04 07:25:30.910940",1,"2013-10-02 12:25:36.790365","いまやスマートフォンからのアクセスは、サイト全体のアクセスの4割近くを占め、その対応についてどうしようか検討しながらも、スマホ専用サイト作成に着手できずにいる経営者様は多いのではないでしょうか?
参考記事「既に50%超えをしている業種も!スマートフォンのアクセス割合・率についての実例調査」
実際、相談を受ける内容も、どのようにスマホサイトを作成すればいいかという内容よりも、そもそも論としてスマホサ",http://yongshuangchem.com/wp-content/themes/dp-elplano/img/_uploads/title/title_channel01.png,,,165,
133,http://japanese.engadget.com/2013/10/02/wimax2-wi-fi-walker-wimax2-hwd14-wimax-4g-lte/,"初のWiMAX2+対応モバイルルータ Wi-Fi WALKER WiMAX2+ HWD14発表。WiMAX / 4G LTEとの3方式対応 - Engadget Japanese",4,"2013-10-02 12:26:03.964321","2013-11-04 09:19:46.366506",1.00451608289229,"2013-11-04 09:19:46.363443","
初のWiMAX2+対応モバイルルータ Wi-Fi WALKER WiMAX2+ HWD14発表。WiMAX / 4G LTEとの3方式対応
By
Takuro Matsukawa
posted
2013年10月02日 19時12分
0
au がモバイルルータの新製品 Wi-Fi WALKER WiMAX2+ HWD14を発表しました。下り最大110Mbpsの WiMAX 2+、40",http://www.blogcdn.com/japanese.engadget.com/media/2013/10/wi-fi-walker-wimax2-1380696700.jpg,,,104,
134,http://headlines.yahoo.co.jp/hl?a=20131002-00000025-economic-bus_all,"賃金引き上げ会社に融資しない金融機関も （エコノミックニュース） - Yahoo!ニュース",1,"2013-10-02 15:26:25.389206","2013-11-04 07:25:31.275419",1,"2013-10-02 15:26:25.452701","
自民党の石破茂幹事長は1日の記者会見で「ある地域で金融機関が融資にあたって従業員の給料をあげるようなことをしている会社には融資をしないとか、融資を引き揚げるとかの例を聞いたという発言が党の役員会であった」と語った。
石破幹事長は「内閣や政権与党がやろうとしていることに符号しないような例はあちらこちらで出てくるのだろうと思うが、党としてお願いする、また党としてできることをやっていきたい」と語り、実",no_image.png,,,369,
135,http://economic.jp/?p=26916,"EconomicNews（エコノミックニュース）",8,"2013-10-02 15:27:15.637530","2013-11-04 07:25:31.323667",1,"2013-10-02 15:27:15.704019"," 株式会社ビデオリサーチインタラクティブの調査によれば、15～69歳のPCインターネットユーザーでのスマートフォンの所有率は、今年2月の前回調査から9ポイント増加し49.2%に達した。いわゆるガラケー(フィーチャーフォン)の所有率は46%で、スマートフォンが初めて従来型の携帯を上回った。iPadなどタブレット端末の所有率は、前回調査より3.3ポイント増の14.5%だった。
スマホの所有率は2年前に",http://economic.jp/wp/wp-content/uploads/2013/09/a6971974a28b28c15c370e254808121b-200x150.jpg,,,64,
136,http://irorio.jp/yangping/20130818/73254/,"大学発ベンチャー、過半数が黒字経営 - IRORIO（イロリオ）",8,"2013-10-02 15:31:20.009245","2013-11-04 07:25:31.377169",1,"2013-10-02 15:31:20.042077","アベノミクスの「第三の矢」として閣議決定された「科学技術イノベーション総合戦略」には、大学発ベンチャー企業の活性化が盛り込まれた。すでに安倍政権下では、2012年度の補正予算で、産学共同研究や大学発ベンチャーへの出資金などの用途に1800億円を割り当てており、大学研究を経済の立て直しに活用しようと期待されている。
そのような状況下、株式会社帝国データバンクは今回初めて、国内の大学発ベンチャー企業",http://imgassets.com/irorio/uploads/2233b4c9c21ecbed1ee4c9fa227da697.jpg,,,11,
137,http://www.publickey1.jp/blog/13/jolt_awards_20132013it5.html,"この1年の優れたIT系書籍はどれか？「Jolt Awards 2013」が5冊を発表 − Publickey",4,"2013-10-03 04:38:53.846429","2013-11-04 07:25:31.441764",0.739686374936763,"2013-10-03 15:44:49.164887","
デベロッパー向けに情報発信をしている「Dr. Dobb's Journal」が、この1年に出版されたIT系書籍の中から優れた本を選ぶ「Jolt Awards」が今年も発表されました。
選ばれた書籍を見てみると、まずNoSQLの書籍が入っていることにやや驚きます。しかも著者の1人はあのMartin Fowler氏です。米国では引き続きNoSQLに熱い視線が注がれているのですね。
2冊目のTeam ","http://ec2.images-amazon.com/images/I/41qHKrFZi0L._SX200_BO1,200,200,200_.jpg",,,408,
138,http://internet.watch.impress.co.jp/docs/news/20131003_618057.html,"20代女性の検索利用がGoogleに流れ始めた？　Yahoo!を逆転したとの調査結果 -INTERNET Watch",4,"2013-10-03 14:57:22.785299","2013-11-04 23:44:47.748797",0,"2013-10-03 15:42:23.958145","",no_image.png,,,40,encoding
139,http://news.livedoor.com/article/detail/8074924/,"ホンダの新型スポーツカーに期待膨らむ　「NSX」と「S2000」がそろってこそ「本当の復活」だ！ - ライブドアニュース",8,"2013-10-03 15:19:26.428425","2013-11-04 07:25:31.575583",0,"2013-10-03 15:41:33.086154","
写真拡大
2013年8月に米国で試走されたホンダの新型「NSX」(ホンダ提供)
新型フィットHVが好調のホンダに、新型スポーツカーへの期待が高まっている。すでにホンダの米現地法人、アメリカン・ホンダモーターが2013年8月4日、新型「NSX」の試作車によるデモンストレーションを、米オハイオ州で開催されたインディカーシリーズ第14戦で、世界で初めて公開。2015年の量産開始に向けて現在開発中という",http://image.news.livedoor.com/newsimage/8/e/8ec6e_80_6b9434fc_6bc1fef9-m.jpg,,,350,
140,http://netallica.yahoo.co.jp/news/20131003-00000007-allabout,"電車での移動時間を効果的に使う時間管理術 - ネタりか",8,"2013-10-03 15:44:19.997426","2013-11-04 07:25:31.624416",1,"2013-10-03 15:44:20.034462","
超高速リニア、果たしてその経済効果は……?
超高速リニア、ついに詳細が明らかになりました。(http://www3.nhk.or.jp/news/web_tokushu/2013_0919.html)この記事によれば、東京―名古屋間を最高時速500km/hでわずか40分で結ぶそうです。現在の東京―名古屋間の新幹線の移動時間が1時間40分なので、1時間も短縮できるというのはかなりの時短。 40分と",http://amd.c.yimg.jp/amd/20131003-00000007-allabout-000-1-view.jpg,,,219,
